num_views,num_addtocart,unique_items,categories_viewed,duration_min,cluster,item_history (for KNN)
17,3,14,4,24.2,3,"303960, 425260, 186159"
2,0,10,6,42.6,3,"191547, 227976, 429907"
10,0,7,1,38.7,3,"340960, 63928, 246305"
5,4,3,1,55.9,2,"393134, 436360, 51983"
1,2,1,7,16.9,3,"259357, 336166, 203908"
8,1,11,6,30.6,2,"223203, 361288, 444090"
11,2,3,9,40.4,2,"408218, 241715, 446730"
2,3,8,6,14.2,0,"44547, 385475, 362606"
10,3,9,9,52.8,3,"328140, 15773, 103076"
3,3,1,8,6.0,0,"353334, 346655, 247698"
